generation_id,created_at,cost_total,cost_web_search,cost_cache,cost_file_processing,byok_usage_inference,tokens_prompt,tokens_completion,tokens_reasoning,model_permaslug,provider_name,variant,cancelled,streamed,user,finish_reason_raw,finish_reason_normalized,generation_time_ms,time_to_first_token_ms,app_name,api_key_name
gen-1768834156-kG07CHmhtRwwoBiRkoao,2026-01-19 14:49:16.586,0.020919,0.02,,0,0.000928,5986,51,0,openai/gpt-4o-mini,OpenAI,standard,false,true,1f14e597-90b3-4bbd-8d45-25205ed5f05b,stop,stop,1880,677,Dify.AI,pisarz
gen-1768834152-YX3WrvMuvJ7jOy1S4YJM,2026-01-19 14:49:12.501,0.020908,0.02,,0,0.000917,5902,54,0,openai/gpt-4o-mini,OpenAI,standard,false,true,1f14e597-90b3-4bbd-8d45-25205ed5f05b,stop,stop,2502,1052,Dify.AI,pisarz
gen-1768834152-fHHXub0GV2UiAEhbKiUl,2026-01-19 14:49:12.488,0.020944,0.02,,0,0.000954,6174,47,0,openai/gpt-4o-mini,OpenAI,standard,false,true,1f14e597-90b3-4bbd-8d45-25205ed5f05b,stop,stop,2274,881,Dify.AI,pisarz
gen-1768834152-SflEZ081NTNihpj3w4Jl,2026-01-19 14:49:12.488,0.020907,0.02,,0,0.000917,5918,49,0,openai/gpt-4o-mini,OpenAI,standard,false,true,1f14e597-90b3-4bbd-8d45-25205ed5f05b,stop,stop,2356,825,Dify.AI,pisarz
gen-1768834152-wUjniQYZsqaAsv9J4GSC,2026-01-19 14:49:12.457,0.020908,0.02,,0,0.000917,5918,50,0,openai/gpt-4o-mini,OpenAI,standard,false,true,1f14e597-90b3-4bbd-8d45-25205ed5f05b,stop,stop,2146,750,Dify.AI,pisarz
gen-1768834152-iN2XOHGBGEi2sDnrzbiz,2026-01-19 14:49:12.416,0.020945,0.02,,0,0.000954,6174,48,0,openai/gpt-4o-mini,OpenAI,standard,false,true,1f14e597-90b3-4bbd-8d45-25205ed5f05b,stop,stop,2452,1051,Dify.AI,pisarz
gen-1768834152-fMZYR2kIcEoFttcMKair,2026-01-19 14:49:12.400,0.020943,0.02,,0,0.000953,6174,45,0,openai/gpt-4o-mini,OpenAI,standard,false,true,1f14e597-90b3-4bbd-8d45-25205ed5f05b,stop,stop,2279,944,Dify.AI,pisarz
gen-1768834148-A3ZXVhjJkgpgQFkEG6Kn,2026-01-19 14:49:08.911,0.021,0.02,,0,0.00101,6594,36,0,openai/gpt-4o-mini,OpenAI,standard,false,true,1f14e597-90b3-4bbd-8d45-25205ed5f05b,stop,stop,1796,671,Dify.AI,pisarz
gen-1768834146-Fv1pOXL4RPObrJBMAmRD,2026-01-19 14:49:05.853,0.020832,0.02,,0,0.00084,5468,34,0,openai/gpt-4o-mini,OpenAI,standard,false,true,1f14e597-90b3-4bbd-8d45-25205ed5f05b,stop,stop,1803,656,Dify.AI,pisarz
gen-1768834146-noI7t89xcPiwcQcyLclP,2026-01-19 14:49:05.844,0.021003,0.02,,0,0.001013,6594,41,0,openai/gpt-4o-mini,OpenAI,standard,false,true,1f14e597-90b3-4bbd-8d45-25205ed5f05b,stop,stop,1645,640,Dify.AI,pisarz
gen-1768834146-mhvUGGkWKCW9xSMYGaIT,2026-01-19 14:49:05.841,0.020904,0.02,,0,0.000913,5954,34,0,openai/gpt-4o-mini,OpenAI,standard,false,true,1f14e597-90b3-4bbd-8d45-25205ed5f05b,stop,stop,1526,620,Dify.AI,pisarz
gen-1768834146-h1pnrwPmv4IONgeuBh8b,2026-01-19 14:49:05.807,0.020826,0.02,,0,0.000834,5391,43,0,openai/gpt-4o-mini,OpenAI,standard,false,true,1f14e597-90b3-4bbd-8d45-25205ed5f05b,stop,stop,1367,636,Dify.AI,pisarz
gen-1768834146-9yNA0Kyz66yjwFdtqBKk,2026-01-19 14:49:05.797,0.020976,0.02,,0,0.000986,6430,37,0,openai/gpt-4o-mini,OpenAI,standard,false,true,1f14e597-90b3-4bbd-8d45-25205ed5f05b,stop,stop,2262,766,Dify.AI,pisarz
gen-1768834146-hX9PnUoBs5IdBvElacN5,2026-01-19 14:49:05.790,0.020856,0.02,,0,0.000865,5603,42,0,openai/gpt-4o-mini,OpenAI,standard,false,true,1f14e597-90b3-4bbd-8d45-25205ed5f05b,stop,stop,1950,584,Dify.AI,pisarz
gen-1768834141-L135wajCD97TmUOzkC5P,2026-01-19 14:49:01.281,0.022167,0.02,,0,0.002188,10557,1009,0,openai/gpt-4o-mini,OpenAI,standard,false,true,1f14e597-90b3-4bbd-8d45-25205ed5f05b,stop,stop,26967,753,Dify.AI,pisarz
gen-1768834141-AhOsNaYL2zHWP2Jy3kAa,2026-01-19 14:49:01.263,0.021073,0.02,,0,0.001084,6884,87,0,openai/gpt-4o-mini,OpenAI,standard,false,true,1f14e597-90b3-4bbd-8d45-25205ed5f05b,stop,stop,2641,593,Dify.AI,pisarz
gen-1768833970-zyuyXeOpf9wrkfMOH3wo,2026-01-19 14:46:10.663,0.020686,0.02,,0,0.000693,4602,5,0,openai/gpt-4o-mini,OpenAI,standard,false,true,9031b0e0-ae03-4208-9f5e-a486b3248e18,stop,stop,772,671,Dify.AI,pisarz
gen-1768833969-3F70oQJ0Fuu4LKDQy8oj,2026-01-19 14:46:09.450,0.020978,0.02,,0,0.000988,6290,75,0,openai/gpt-4o-mini,OpenAI,standard,false,true,9031b0e0-ae03-4208-9f5e-a486b3248e18,stop,stop,2564,643,Dify.AI,pisarz
gen-1768833965-39DHUExKDKpcPCRT7zfl,2026-01-19 14:46:05.370,0.020568,0.02,,0,0.000574,3780,12,0,openai/gpt-4o-mini,OpenAI,standard,false,true,9031b0e0-ae03-4208-9f5e-a486b3248e18,stop,stop,908,686,Dify.AI,pisarz
gen-1768833965-QI3PBkijd5k4p0bpy6Xo,2026-01-19 14:46:05.025,0.020632,0.02,,0,0.000638,4173,21,0,openai/gpt-4o-mini,OpenAI,standard,false,true,9031b0e0-ae03-4208-9f5e-a486b3248e18,stop,stop,1105,601,Dify.AI,pisarz
gen-1768833964-mdLTKwwlwDQg2xpdIsFM,2026-01-19 14:46:04.878,0.020617,0.02,,0,0.000624,4113,12,0,openai/gpt-4o-mini,OpenAI,standard,false,true,9031b0e0-ae03-4208-9f5e-a486b3248e18,stop,stop,730,639,Dify.AI,pisarz
gen-1768833964-n5JVSaRbZyKKRE4bdHFn,2026-01-19 14:46:04.869,0.020588,0.02,,0,0.000594,3880,21,0,openai/gpt-4o-mini,OpenAI,standard,false,true,9031b0e0-ae03-4208-9f5e-a486b3248e18,stop,stop,1208,693,Dify.AI,pisarz
gen-1768833962-8KUhu9ft7AndUpxQphHz,2026-01-19 14:46:02.425,0.020581,0.02,,0,0.000587,3832,21,0,openai/gpt-4o-mini,OpenAI,standard,false,true,9031b0e0-ae03-4208-9f5e-a486b3248e18,stop,stop,1139,507,Dify.AI,pisarz
gen-1768833962-k0UtQweIZD4HEPitPJtj,2026-01-19 14:46:02.406,0.020596,0.02,,0,0.000602,3932,21,0,openai/gpt-4o-mini,OpenAI,standard,false,true,9031b0e0-ae03-4208-9f5e-a486b3248e18,stop,stop,1086,706,Dify.AI,pisarz
gen-1768833962-NYSuScGmTYmnJHoLtt4X,2026-01-19 14:46:02.406,0.020583,0.02,,0,0.000589,3880,12,0,openai/gpt-4o-mini,OpenAI,standard,false,true,9031b0e0-ae03-4208-9f5e-a486b3248e18,stop,stop,794,627,Dify.AI,pisarz
gen-1768833962-tAsT6OUBpxLREZVoRscQ,2026-01-19 14:46:02.367,0.020591,0.02,,0,0.000597,3900,21,0,openai/gpt-4o-mini,OpenAI,standard,false,true,9031b0e0-ae03-4208-9f5e-a486b3248e18,stop,stop,1282,739,Dify.AI,pisarz
gen-1768833962-doGpn3tAPyzI1jNvpX9l,2026-01-19 14:46:02.340,0.020588,0.02,,0,0.000594,3880,21,0,openai/gpt-4o-mini,OpenAI,standard,false,true,9031b0e0-ae03-4208-9f5e-a486b3248e18,stop,stop,1063,611,Dify.AI,pisarz
gen-1768833962-KRy33eTN0kEtUMZ76qWC,2026-01-19 14:46:02.328,0.020606,0.02,,0,0.000612,4033,12,0,openai/gpt-4o-mini,OpenAI,standard,false,true,9031b0e0-ae03-4208-9f5e-a486b3248e18,stop,stop,731,573,Dify.AI,pisarz
gen-1768833955-ZhO5IA6gZbvR1hT1gTMg,2026-01-19 14:45:55.051,0.020795,0.02,,0,0.000803,5094,66,0,openai/gpt-4o-mini,OpenAI,standard,false,true,9031b0e0-ae03-4208-9f5e-a486b3248e18,stop,stop,4996,2948,Dify.AI,pisarz
gen-1768833955-VvInnwvaGlpDrMDFUBmi,2026-01-19 14:45:55.008,0.020795,0.02,,0,0.000803,5094,66,0,openai/gpt-4o-mini,OpenAI,standard,false,true,9031b0e0-ae03-4208-9f5e-a486b3248e18,stop,stop,4873,2781,Dify.AI,pisarz
gen-1768833954-psbRZdkDmRzwxJIngNeB,2026-01-19 14:45:54.756,0.020795,0.02,,0,0.000803,5094,66,0,openai/gpt-4o-mini,OpenAI,standard,false,true,9031b0e0-ae03-4208-9f5e-a486b3248e18,stop,stop,2497,745,Dify.AI,pisarz
gen-1768833954-P242acc6pzxw01fRDybU,2026-01-19 14:45:54.417,0.020791,0.02,,0,0.000799,5094,59,0,openai/gpt-4o-mini,OpenAI,standard,false,true,9031b0e0-ae03-4208-9f5e-a486b3248e18,stop,stop,4549,2729,Dify.AI,pisarz
gen-1768833950-KHXmL66jAjYbltYmW0rB,2026-01-19 14:45:50.575,0.020795,0.02,,0,0.000803,5094,66,0,openai/gpt-4o-mini,OpenAI,standard,false,true,9031b0e0-ae03-4208-9f5e-a486b3248e18,stop,stop,2930,650,Dify.AI,pisarz
